Domain,QS,Question,Hint
Quality and Purpose of Care,QS1,How does your statement of purpose reflect the specific needs of the young people currently placed?,Inspector wants a living document — reference recent reviews and changes made.
Quality and Purpose of Care,QS1,Describe the atmosphere a first-time visitor would notice within five minutes of arriving.,Think staff-young people interactions; warmth; physical environment; young people's influence.
Children's Views Wishes and Feelings,QS2,Give a specific example of a decision that changed as a direct result of young people's feedback.,Inspector wants a real example with a real outcome — not a process description.
Children's Views Wishes and Feelings,QS2,How do you ensure young people know they can contact Ofsted directly and independently?,Think about accessibility and whether young people could explain this themselves.
Education,QS3,What is your process the moment a young person arrives without a confirmed school place?,Inspector wants urgency — who you contact and how quickly; interim provision.
Education,QS3,How do you ensure PEPs are meaningful rather than a tick-box compliance exercise?,Evidence co-production; young person involvement; actions tracked and completed.
Enjoyment and Achievement,QS4,Give an example of an activity you arranged for a young person that required significant effort to organise.,Be specific — inspector wants to see individualised provision driven by the young person's interests.
Enjoyment and Achievement,QS4,How do you balance proportionate risk management with allowing age-appropriate freedom?,Think individual risk assessments; rights to a normal childhood; how decisions are made.
Health and Wellbeing,QS5,What is your process for GP and dentist registration within the first week of placement?,Inspector wants timeline and accountability — who holds responsibility.
Health and Wellbeing,QS5,A young person has been waiting six months for CAMHS and is visibly deteriorating — what do you do?,Inspector wants escalation; advocacy; interim support — not passive waiting.
Positive Relationships,QS6,How do you manage family contact where there are active safeguarding concerns?,Balance rights to family relationships against safety — show a risk-proportionate approach.
Positive Relationships,QS6,How do you ensure continuity of important staff relationships when shift patterns or contracts change?,Think keyworker systems; transitions; how you manage the impact on young people.
Protection of Children,QS7 (Limiting),Walk me through your missing from care protocol from unaccounted to return home interview.,Inspector wants decision-making owners at each stage; timelines; quality of return interview.
Protection of Children,QS7 (Limiting),What specific indicators would prompt a MASH referral from your home?,Name the actual indicators — exploitation; CSE; county lines; radicalisation signals.
Leadership and Management,QS8,How do your Regulation 44/45 reports drive documented measurable change in practice?,Inspector wants the quality improvement loop: findings to actions to measurable impact.
Leadership and Management,QS8,How would you identify deteriorating practice in a staff member between supervision sessions?,Think observation; handover quality; daily log review; what you notice and how fast you act.
Care Planning,QS9,How are young people meaningfully involved in shaping the content of their own care plans?,Evidence co-production — not just a signature; accessible language; adapted for communication needs.
Care Planning,QS9,How do you update care plans outside formal review cycles when a young person's needs change significantly?,Inspector wants responsive planning — what triggers an unplanned review and how quickly it's documented.
